;recomendacao;preco_entrada;alvo_lucro;stop_loss;justificativa_tecnica;data;count
0;aguardar;0.00;0.00;0.00;"O ativo mantém tendência macro de alta (topos e fundos ascendentes nos últimos 6 meses) e média móvel de 20 períodos levemente inclinada para cima, mas o preço se encontra encostado na região de resistência histórica entre 14,7 e 15,0, próximo à banda superior de Bollinger, reduzindo a relação risco/retorno para novas compras. O RSI está em zona neutra (~60), sem indicar sobrecompra ou sobrevenda, e o MACD acabou de entrar em território positivo, sinalizando força de compra, porém sem ainda romper o pico de momentum anterior. A confluência mostra viés altista, mas com obstáculo técnico imediato; faltam sinais claros de rompimento ou de exaustão vendedora. Assim, a probabilidade de pullback ou congestão é elevada, recomendando-se aguardar confirmação (breakout acima de 15,0 com volume) ou recuo até suporte (12,8–13,2) antes de posicionar qualquer trade.";2020_10_11;0
1;aguardar;0.00;0.00;0.00;A tendência macro e secundária permanece de alta (topos e fundos ascendentes), contudo a microtendência das últimas sessões é de correção. O preço segue acima da MMS20 ascendente, mas perdeu força após testar a resistência em 14,8–15,0. O IFR recuou da zona de sobrecompra e se encontra em região neutra, indicando arrefecimento do momento comprador. O MACD continua positivo, porém o histograma diminui e as linhas convergem, sugerindo perda de momentum. As Bandas de Bollinger mostram o preço saindo da banda superior e caminhando em direção à média, apontando espaço para uma correção técnica. Diante da confluência de: (1) tendência principal ainda altista, porém (2) sinais de enfraquecimento de curto prazo no IFR e MACD, e (3) falta de desconto atraente próximo a suportes (MMS20 ≈ 13,5) ou confirmação de rompimento da resistência (14,9–15,0), a probabilidade-retorno não é favorável para entrada imediata. Portanto, a decisão mais prudente é aguardar nova sinalização de força compradora (pullback na MMS20 ou rompimento do topo histórico) antes de posicionar-se.;2020_10_18;0
2;aguardar;0.00;0.00;0.00;Tendência macro e secundária seguem de alta (topos e fundos ascendentes), mas a microtendência virou de baixa nas últimas semanas, indicando correção. O preço está levemente acima da MMS20 ainda positiva, porém o MACD cruzou para baixo e o histograma perde força, sugerindo enfraquecimento do momentum comprados. O IFR recuou para a região neutra (~40), sem sobrevenda que justifique compra. O preço opera no meio das Bandas de Bollinger, longe da banda inferior (suporte) e da superior (resistência), oferecendo relação risco/retorno desfavorável para entradas imediatas. Sem confluência clara de sinais técnicos para compra ou venda, a melhor estratégia no momento é aguardar novo gatilho (rompimento de 14,60 para compra ou teste de 13,00/12,50 para avaliar pullback).;2020_10_25;0
3;comprar;13.20;14.80;12.40;"1) Tendência: macro de alta com topos e fundos ascendentes; secundária de consolidação acima da MMS20; micro em pullback dentro do range. 2) Preço trabalha acima da MMS20, que ainda tem leve inclinação positiva, atuando como suporte dinâmico. 3) Bandas de Bollinger: cotação regressou ao miolo das bandas após toque na banda superior, oferecendo ponto de compra com volatilidade contida e espaço até a banda superior. 4) MACD: histograma voltou para terreno ligeiramente positivo e linhas prestes a cruzar para cima, indicando retomada de momentum comprador. 5) RSI saiu de zona de sobrevenda (<30) para região neutra (~45), sinalizando recuperação sem sobrecompra. 6) Suporte horizontal relevante em 12.5–12.7 (fundos recentes e proximidade da MMS20); resistência em 14.8–15.0 (último topo e banda superior), permitindo relação risco/retorno ~2:1. Diante da confluência entre tendência maior de alta, sustentação na média de 20 e primeiros sinais de retomada de força pelos indicadores, a estratégia é comprar no nível atual (13.20), stop abaixo do suporte (12.40) e alvo no topo anterior (14.80).";2020_10_4;0
4;vender;12.60;11.40;13.50;"1) Estrutura de preço: macro ainda é de alta, porém a secundária entrou em consolidação e a micro virou para baixa, com sequência recente de topos e fundos descendentes. 2) O candle atual perdeu a MMS20 (que virou para baixo) e atua colado à banda inferior de Bollinger, evidenciando pressão vendedora. 3) MACD cruzado para baixo, linhas e histograma negativos, indicando momentum baixista. 4) RSI de 14 períodos cai para a região de 35-40, sem atingir sobrevenda, mostrando espaço para mais queda. 5) Próximo suporte relevante está em 11.40-11.50 (fundo anterior); resistência imediata em 13.40-13.60 (topo recente e MMS20). 6) Vender no rompimento de 12.60 (mínima recente) oferece relação risco/retorno ≈ 1.3 (stop 13.50, alvo 11.40) alinhada à confluência de sinais técnicos de baixa.";2020_11_1;0
5;aguardar;0.00;0.00;0.00;"Preço mantém tendência macro de alta, mas a secundária passou a lateral/baixista (topos descendentes há 3 meses) e a micro mostra apenas um repique. O candle atual trabalha próximo da MMS20, que está praticamente plana, indicando ausência de direção clara. RSI em torno de 45-50 confirma regime neutro, longe de sobrecompra/sobrevenda. O MACD está levemente positivo, mas as barras do histograma diminuem, sinalizando perda de força. Preço está no miolo das Bandas de Bollinger (nem perto da banda inferior para compra nem da superior para venda). Confluência insuficiente para uma operação com boa relação risco/retorno; o ativo precisa romper 14,0–14,2 (resistência) para compra ou perder 12,8–12,5 (suporte) para venda. Até lá, o cenário segue indefinido, recomendando ficar fora.";2020_11_15;0
6;aguardar;0.00;0.00;0.00;"O ativo encontra-se em consolidação (caixa entre 12.4 e 14.4) depois de forte rally que caracterizou tendência macro de alta. No curto prazo, topos e fundos laterais predominam; o preço trabalha ligeiramente abaixo da MMS20, que perdeu inclinação, confirmando perda de momento. RSI está em faixa neutra (~50), sem sinal de sobrecompra ou sobrevenda; MACD segue negativo e flat, validando ausência de impulso direcional; o preço navega entre as bandas de Bollinger, longe de suas extremidades. Não há confluência de sinais para entrada com adequada relação risco/retorno; recomenda-se aguardar definição: compra só no teste/repique da zona de suporte (≈12.4-12.6) ou no rompimento consistente da resistência superior (≈14.4), ou venda caso ocorra perda do suporte.";2020_11_22;0
7;aguardar;0.00;0.00;0.00;"O ativo encontra-se em consolidação nos últimos três meses (12,5–14,6), após forte tendência de alta nos três meses anteriores. O preço está levemente abaixo da MMS20, que hoje se apresenta praticamente horizontal, sinalizando perda de momentum. O MACD tem linha principal e histograma abaixo de zero, reforçando viés baixista, porém ainda sem divergência positiva que sugira reversão. O IFR está em torno de 40, fora de sobre-venda, sem gatilho claro de compra; também não está em sobre-compra para venda. As Bandas de Bollinger estão comprimidas, apontando redução de volatilidade e ausência de rompimento significativo das bandas. Como o preço está no meio do range, distante tanto do suporte (≈12,5) quanto da resistência (≈14,6), a relação risco/retorno é desfavorável para novas posições. Falta confluência de sinais técnicos convincentes para compra ou venda imediata, portanto a melhor decisão, no momento, é aguardar um teste de suporte/resistência ou um rompimento com aumento de volume antes de iniciar um trade.";2020_11_29;0
8;comprar;14.90;16.90;13.90;"O ativo retoma a tendência de alta macro após consolidar entre 12.40–14.80. O candle atual fecha acima da média móvel de 20 períodos, apoiado por inclinação positiva da própria média, sugerindo retomada de força compradora. O MACD acaba de cruzar a linha de sinal de baixo para cima, com histograma retornando à área positiva, sinalizando início de momentum altista. O RSI reage da região neutra para 65, ainda abaixo da sobrecompra, fornecendo espaço para avanço. O preço trabalha colado à banda superior de Bollinger, indicando aumento de volatilidade típico de rompimentos. A entrada é condicionada ao rompimento de 14.80/14.85 (máximas históricas recentes); stop abaixo do último fundo relevante (13.90), invalidando o padrão caso retorne à congestão. O alvo projeta a amplitude da lateralização (≈2,4) acima da resistência, com alvo intermediário conservador em 16.90, oferecendo relação risco/retorno de 2:1.";2020_11_8;0
9;aguardar;0.00;0.00;0.00;"O preço se mantém abaixo da MMS20 — agora praticamente plana — indicando perda de força da antiga tendência de alta. Desde o topo em torno de 14,8 tem‐se topos descendentes (viés baixista no médio prazo) e o candle atual testou a banda inferior de Bollinger perto da região de suporte ~12,8/13,0 sem formar sinal claro de reversão. O IFR (≈45) está em zona neutra, longe de sobrevenda, e o MACD permanece com linhas e histograma negativos, reforçando momentum vendedor. Contudo, a proximidade do suporte e da banda inferior reduz o espaço imediato para um trade vendido; ao mesmo tempo não há gatilho de força compradora para compra. Ausência de confluência sólida de sinais — momentum negativo, mas suporte relevante logo abaixo — recomenda ficar fora até que ocorra: (i) rompimento baixista de 12,8 para venda ou (ii) recuperação acima de 13,6/MMS20 com MACD virando para compra.";2020_12_13;0
