;recomendacao;preco_entrada;alvo_lucro;stop_loss;justificativa_tecnica;data;count
0;comprar;14.60;15.80;13.80;"• Tendência primária de alta: formação consistente de topos e fundos ascendentes e candles posicionados acima da média móvel curta (linha laranja), que atua como suporte dinâmico.
• Bollinger Bands: preço trabalha junto à banda superior, comportamento típico de movimento direcional forte (‘band riding’), indicando força compradora ainda presente.
• MACD: linha MACD voltou a cruzar acima da linha de sinal e o histograma virou positivo, reforçando retomada de momentum altista.
• RSI: oscila em torno de 60, apontando força sem entrar em sobrecompra, o que abre espaço estatístico para avanço adicional antes de esgotamento.
• Gestão de risco: stop abaixo do último fundo relevante e da média móvel (~13,80), protegendo contra um eventual falso rompimento; alvo projetado na região de 15,80 (extensão de 1 ATR acima do topo recente e próximo à faixa psicológica de 16), oferecendo relação risco/retorno superior a 1,5:1.
Diante do conjunto de sinais, a probabilidade favorece a continuidade do movimento de alta, justificando entrada compradora com parâmetros definidos.";2020_10_11;0
1;aguardar;0.00;0.00;0.00;"1) Tendência principal ainda é de alta (máximas e mínimas ascendentes), porém o preço encontra-se afastado da média de 20 períodos e próximo à banda superior de Bollinger, indicando possível exaustão de curto prazo. 2) O RSI recuou do terreno de sobrecompra (>70) para a região de 55, configurando perda de força compradora e possível divergência em relação às últimas máximas de preço. 3) O MACD segue acima da linha de sinal, mas o histograma diminui há várias sessões, sugerindo enfraquecimento do momentum e risco de cruzamento baixista. 4) Não há sinal claro de rompimento ou padrão de reversão confirmado que ofereça relação risco/retorno favorável para compra; tampouco há sinal técnico robusto para venda contra a tendência primária. 5) A melhor relação risco/retorno surgiria em um pullback até a média de 20 períodos ou banda média de Bollinger, ou em novo rompimento consistente das máximas com aumento de volume e retomada do RSI acima de 70. Assim, a probabilidade atual favorece aguardar por configurações mais claras antes de abrir posição.";2020_10_18;0
2;aguardar;0.00;0.00;0.00;"O ativo ainda preserva tendência primária de alta, porém apresenta sinais de exaustão de curto prazo: (i) candles maiores perto do topo seguidos de máximas descendentes indicam perda de força compradora; (ii) o RSI deixou região de sobrecompra, perdeu a linha dos 50 e aponta para baixo, sugerindo enfraquecimento do momentum; (iii) o MACD cruzou para venda com histograma negativo, confirmando divergência de baixa; (iv) o preço trabalha entre a média central das Bandas de Bollinger e a banda inferior, com as bandas se estreitando, indicando consolidação/contração de volatilidade. A relação risco-retorno para nova compra é desfavorável enquanto não houver sinal de reversão (p. ex. candle de força acima da média de 20 períodos e RSI retomando acima de 50). Também não há espaço técnico atraente para venda, pois o suporte imediato situa-se próximo (faixa 13,30–13,50), limitando ganho potencial. Portanto, a melhor decisão probabilística nesse momento é aguardar novo gatilho claro (breakout para cima ou perda decisiva do suporte) antes de iniciar posição.";2020_10_25;0
3;aguardar;0.00;0.00;0.00;O papel segue em tendência de alta de médio prazo (máximas e mínimas ascendentes e preços ainda acima da média móvel de 20 períodos), porém o contexto de curto prazo indica perda momentânea de força compradora: 1) o último candle encostou na banda superior de Bollinger e fechou como barra de rejeição (corpo negativo), sinalizando pressão vendedora. 2) O RSI fez topo descendente e voltou a curvar-se para baixo, sem estar em região de sobrevenda, sugerindo espaço para correção adicional. 3) O MACD mantém-se acima da linha zero, mas o histograma vem reduzindo, mostrando desaceleração do momentum. 4) As bandas de Bollinger estão relativamente estreitas após forte expansão, aumentando o risco de consolidação/volatilidade. Dessa forma, o risco-retorno para iniciar posição comprada neste ponto é desfavorável e não há gatilho claro para venda, o que torna mais prudente aguardar: a) nova aproximação da média de 20 períodos com sinal de retomada da compra ou b) eventual perda decisiva da média/linha inferior (≈12,50) para avaliar venda. Enquanto isso, a melhor decisão, segundo as evidências gráficas, é ficar fora da operação.;2020_10_4;0
4;vender;12.70;11.50;13.70;O ativo perdeu a média curta e fechou abaixo da banda inferior de Bollinger, com expansão das bandas – sinal típico de início/continuação de movimento direcional de baixa. O RSI quebrou a zona de neutralidade (50) e acelera para baixo, ainda distante da região de sobrevenda (<30), indicando espaço para queda adicional. O MACD está abaixo da linha zero, com a linha MACD abrindo distância da linha de sinal e histograma crescente no negativo, confirmando predominância vendedora. Próximo suporte relevante situa-se entre 11,50-11,70 (topo anterior rompido e fundo do canal), enquanto a região de 13,60-13,80 concentra a média e topos recentes, servindo de resistência natural para posicionar o stop. O cenário favorece posição vendida visando movimento de continuidade até o suporte.;2020_11_1;0
5;vender;13.60;12.80;14.40;O ativo falhou em sustentar o rompimento dos 14,80, deixando longa sombra superior e retornando rapidamente para dentro das Bandas de Bollinger. O movimento subsequente formou uma consolidação retangular (bandeira de baixa) abaixo da média móvel de 20 períodos, indicando provável continuação descendente. O RSI rejeitou a zona de 50 e volta a apontar para baixo, sinalizando perda de força compradora. O MACD cruzou para baixo do sinal próximo à linha zero, reforçando viés de baixa. As bandas começam a abrir para baixo, sugerindo expansão de volatilidade a favor da queda. Dessa forma, a relação risco-retorno favorece posição vendida: entrada em 13,60, alvo em 12,80 (suporte e banda inferior) e stop em 14,40 (acima da consolidação e da média).;2020_11_15;0
6;aguardar;0.00;0.00;0.00;O ativo encontra-se em consolidação lateral (caixa entre ~12,80 e ~13,80) após forte movimento de alta seguido de correção. As Bandas de Bollinger estão estreitando, sugerindo perda de volatilidade e ausência de direção definida. O preço trabalha próximo à média curta (SMA 20) sem força para rompê-la de forma consistente, caracterizando equilíbrio entre compradores e vendedores. O RSI permanece em zona neutra (≈55), sem divergências claras nem condição de sobrecompra/sobrevenda. O MACD está abaixo da linha zero e suas barras de histograma diminuem, indicando enfraquecimento do impulso, porém ainda sem cruzamento autêntico de compra. Como não há sinal de rompimento confirmado nem configuração de reversão com relação risco/retorno atrativa, a probabilidade favorece aguardar a saída do range para definir um trade de maior convicção.;2020_11_22;0
7;vender;13.25;12.60;13.90;O ativo perdeu momentum de alta e encontra-se em consolidação lateral dentro de um retângulo (≈12,60 – 14,40). No momento o preço oscila abaixo da média de 20 períodos (linha central das Bandas de Bollinger) e tende para a banda inferior. O RSI caiu abaixo da região neutra (≈40) sem sinal de sobrevenda, indicando espaço para mais queda. O MACD está negativo, com linhas descendo abaixo da linha zero e histograma em expansão negativa, reforçando viés baixista. O risco-retorno favorece operação curta: entrada em 13,25 (na perda do candle atual), alvo na zona de suporte/banda inferior em 12,60 (±5,0%), e stop técnico acima do topo recente e da banda média em 13,90 (±4,9%). Enquanto não houver rompimento dos extremos do retângulo, a probabilidade maior é de continuação do movimento para a parte baixa da congestão.;2020_11_29;0
8;aguardar;0.00;0.00;0.00;"O ativo apresentou forte candle de ampla amplitude, fechando próximo à máxima e encostando na resistência principal do retângulo (≈14,8), mas ainda sem rompimento confirmado. Há: (1) Bollinger Bands com preço cravado na banda superior – típico de teste de resistência; (2) RSI saindo da região de sobrevenda e apontando para cima, porém ainda abaixo da zona de sobrecompra, indicando ganho de momentum mas sem confirmação de ruptura; (3) MACD realizando cruzamento de alta abaixo da linha zero e histograma passando para positivo – sinal preliminar de reversão, porém o crossover ainda é recente. Enquanto o preço não conseguir fechar acima da máxima histórica/ teto do range (≈14,9) com bom volume, o risco de retorno ao interior do retângulo é elevado, o que torna a relação risco-retorno pouco favorável para entradas imediatas. Portanto, a conduta mais prudente é aguardar o fechamento acima da resistência (breakout) para buscar compra, ou eventual recuo para suportes (≈13,2) para buscar compras em pullback. Até que um desses gatilhos se materialize, não há setup com probabilidade/risco atrativos.";2020_11_8;0
9;aguardar;0.00;0.00;0.00;O ativo encontra-se em consolidação após um forte movimento de alta. No momento, o preço trabalha próximo à banda inferior de Bollinger e abaixo da média móvel de 20 períodos, indicando viés de curto prazo ainda levemente baixista. O RSI opera na zona neutra (≈45), sem sinal claro de sobrevenda ou divergência positiva. O MACD permanece com as linhas abaixo da linha zero e sem cruzamento de alta, reforçando ausência de momentum comprador consistente. Como não há padrão de reversão confirmado nem rompimento direcional, o cenário é de indefinição e o risco-retorno para abertura de posição é desfavorável. Assim, a orientação é aguardar sinal mais robusto (fechamento acima da média, RSI >50 e/ou cruzamento de alta no MACD) antes de considerar compra, ou rompimento convincente da banda inferior para eventual venda.;2020_12_13;0
