;recomendacao;preco_entrada;alvo_lucro;stop_loss;justificativa_tecnica;data;count
0;comprar;36.90;39.90;35.60;"1) Price action: macro consolidado (lateral), secundário ainda de leve baixa, porém micro-tendência virou para cima com topos e fundos ascendentes nas últimas semanas; suporte relevante em 35.5/36.0 e resistência em 39.5/40.0. 2) Confluência de sinais: (i) candle-fechamento voltou a operar acima da MMS20, que começa a mudar a inclinação para positiva; (ii) MACD realizou cruzamento de alta ligeiramente abaixo da linha zero e histograma já em terreno positivo, sinalizando aceleração de momentum comprador; (iii) RSI 14 saiu da faixa de 40 e avança para ~60, sem sobrecompra, indicando força ainda com espaço para continuar; (iv) preço trabalha no terço superior das Bandas de Bollinger, mas longe da banda superior, sugerindo espaço para expansão até a resistência de 40. 3) Gestão de risco: entrada planejada a 36.90 (região próxima à MMS20 e fundo ascendente), stop abaixo do último fundo relevante em 35.60 (invalida estrutura de topos/fundos ascendentes) e alvo na resistência de 39.90 (topo anterior/banda superior), oferecendo relação risco/retorno aproximada de 2,3:1. A confluência de micro-alta, momentum positivo no MACD e RSI em zona neutra favorece operação compradora com risco bem definido.";2020_10_11;0
1;comprar;38.00;39.80;36.90;O candle mais recente rompeu a resistência horizontal em 37,5, sinalizando saída de uma congestão de várias semanas. O preço está acima da MMS20, que virou para cima, indicando renovação de tendência de curto prazo. As Bandas de Bollinger, antes estreitas, começaram a abrir e o rompimento ocorreu junto à banda superior, sugerindo expansão de volatilidade em favor da alta. O MACD cruzou a linha de sinal para cima e o histograma passou para território positivo, confirmando ganho de momento comprador. O IFR de 14 períodos avança para a região de 60–70, mostrando força, porém sem sobrecompra (>70). A confluência desses fatores (price action de rompimento + MMS20 ascendente + MACD positivo + IFR firme) favorece entrada compradora com alvo na próxima resistência relevante em 39,8 (máxima anterior) e stop abaixo do antigo teto da congestão e da MMS20 em 36,9, proporcionando relação risco/retorno aproximada de 1,6:1.;2020_10_18;0
2;aguardar;;;;O preço trabalha acima da MMS20, que começa a inclinar para cima, o MACD acaba de cruzar a linha zero com histograma levemente positivo e o IFR (≈60) confirma ganho de força compradora, porém ainda longe de sobrecompra. Apesar do momento altista de curto prazo, o ativo encosta na banda superior de Bollinger e se aproxima de uma resistência relevante na faixa de 38,5–39,0, região que segurou os preços em pelo menos três ocasiões nos últimos seis meses. Com macro e secundária laterais, o risco de rejeição nessa barreira é elevado. Sem rompimento claro, a relação risco/retorno é desfavorável para compras e não há sinal de exaustão para vendas. Assim, o cenário de maior probabilidade é aguardar definição: compra apenas se houver rompimento consistente e volume acima de 39,0 ou venda caso surja sinal de reversão perto da resistência.;2020_10_25;0
3;aguardar;0.00;0.00;0.00;O ativo apresenta macroestrutura lateral a levemente baixista, secundária de baixa e microtendência congestionada entre 35,0 (suporte) e 37,5 (resistência). O preço trabalha na região central das Bandas de Bollinger, com baixa volatilidade e sem rompimento de extremos. A MMS20 está levemente inclinada para baixo e o preço oscila em torno dela, indicando ausência de direção definida. O RSI recuou da faixa de 60 para a zona neutra (~45), descaracterizando força compradora ou vendedora relevante, enquanto o MACD oscila próximo da linha zero com histograma praticamente flat, sinalizando momento fraco. Como não há confluência de sinais claros de continuidade ou reversão – e o ativo encontra-se no meio do range, oferecendo relação risco/retorno desfavorável para compras ou vendas – a melhor postura, no momento, é aguardar um rompimento decisivo do suporte (35,0) ou da resistência (37,5) antes de iniciar qualquer posição.;2020_10_4;0
4;vender;34.90;32.00;38.00;Micro, secundária e, possivelmente, macro-tendências apontam para baixo: topos e fundos descendentes nas últimas semanas e nos últimos três meses. O preço trabalha abaixo da MMS20, que já se inclina para baixo. Houve rompimento da banda inferior de Bollinger, indicando expansão de volatilidade na direção vendedora. MACD cruzado para baixo com histograma negativo crescente confirma perda de momento. IFR recuou para perto de 40, ainda fora da zona de sobrevenda, abrindo espaço para quedas adicionais. A confluência de preço abaixo da média, momento negativo (MACD) e ausência de condição de sobrevenda extrema (IFR) sugere probabilidade maior de continuação baixista. Entrada recomendada no rompimento da mínima recente (≈34,90), stop técnico acima do topo/da MMS20 (≈38,00) e alvo no próximo suporte relevante (≈32,00), oferecendo relação de risco/retorno de 1:1.;2020_11_1;0
5;comprar;38.90;41.40;36.60;"Após testar a região de suporte em 36,50–36,80, o preço voltou a fechar acima da MMS20, que começa a se inclinar para cima. O candle mais recente marca um fundo mais alto e sinaliza retomada da micro-tendência de alta. MACD cruzado para cima com histograma positivo e acima da linha zero indica ganho de momentum comprador; RSI em torno de 55 permanece em zona neutra, oferecendo espaço para avanço sem sobrecompra. O trade busca o rompimento da máxima do candle anterior (38,90) mirando a resistência imediata de 41,00–41,50, com stop loss abaixo do fundo recente (36,60), gerando relação risco/retorno próxima de 1 : 1,2 num cenário de confluência de price action, MMS20, MACD e Bollinger.";2020_11_15;0
6;aguardar;0.00;0.00;0.00;O preço está preso em um retângulo de consolidação (35,5–38,5) após a alta dos últimos meses. No momento trabalha ligeiramente abaixo da MMS20, que começa a inclinar-se para baixo, sugerindo viés vendedor no curto prazo. O MACD exibe cruzamento de baixa com histograma negativo, confirmando perda de momento. O IFR ronda a zona neutra (~50), sem indicar sobrecompra ou sobrevenda, e o ativo encontra-se no miolo das Bandas de Bollinger, longe dos extremos de volatilidade. A ausência de tendência clara somada à falta de sinais extremos de momentum ou força relativa não oferece vantagem estatística para entradas agora. Aguardaria rompimento do suporte de 35,5 para sinal de venda ou do teto em 38,5/39,0 para gatilho de compra, evitando operar dentro do range.;2020_11_22;0
7;aguardar;0.00;0.00;0.00;"O ativo encontra-se em movimento lateral no horizonte de 6 meses, com topos e fundos sobrepostos entre 35,0 e 39,0. Nos últimos 3 meses mantém-se em range, sem definição direcional. A microtendência das últimas semanas também é de congestionamento, com candles alternando acima e abaixo da MMS20, que apresenta inclinação praticamente plana. 

Indicadores: (i) preço trabalha junto à MMS20 e ao eixo central das Bandas de Bollinger, evidenciando neutralidade; (ii) MACD exibe cruzamento de linha de sinal para baixo e histograma levemente negativo, mas ainda próximo da linha zero, sinalizando momentum fraco; (iii) RSI oscila em torno de 50, fora das zonas de sobrecompra/sobrevenda, corroborando falta de força direcional. 

Não há confluência favorável de tendência, momento ou exaustão que justifique entrada comprada ou vendida com relação risco/retorno aceitável. O melhor posicionamento, portanto, é aguardar rompimento claro das zonas de resistência (≈39,0) ou suporte (≈35,0) acompanhado de confirmação pelos indicadores antes de montar posição.";2020_11_29;0
8;aguardar;0.00;0.00;0.00;"O ativo encontra-se em consolidação nos últimos seis meses, oscilando entre 35,30 (suporte) e 38,50 (resistência). No curto prazo formou um topo mais baixo em 37,60 após ter perdido o suporte e recuperado, sinalizando fraqueza compradora. O candle atual rompeu levemente abaixo da MMS20, que está plana, indicando ausência de tendência definida. O RSI está em zona neutra (~45), sem sinal claro de sobrecompra ou sobrevenda, e o MACD cai em direção à linha zero com histograma levemente negativo, apontando perda de momento. O preço também se posiciona no miolo das Bandas de Bollinger, longe de extremos, sem oferecer desequilíbrio de volatilidade para entradas táticas. A confluência desses fatores (tendência lateral, momentum enfraquecido, indicadores neutros e posição intermediária no range) sugere baixa relação risco/retorno tanto para compras quanto para vendas no momento; portanto, a postura mais prudente é aguardar novo teste de suporte/resistência ou sinal técnico mais claro antes de agir.";2020_11_8;0
9;aguardar;0.00;0.00;0.00;O ativo apresenta tendência macro e secundária de alta, com preços acima da MMS20 inclinada positivamente e MACD em território positivo. Contudo, após romper a região de resistência em 40,00–40,50 e atingir novo topo em 43,00, surgiram candles de correção que recuaram até ~41,00, ainda próximos da banda superior de Bollinger. O IFR, que esteve em sobrecompra (>70), recua mas permanece elevado, indicando que a correção pode se estender até a MMS20 (≈38,50–39,00) ou ao antigo topo rompido (40,00), onde haveria melhor relação risco/retorno para compras. O histograma do MACD começa a reduzir, sinalizando perda de momentum de curto prazo. Diante do risco de uma correção mais profunda e da falta de um sinal de reversão claro, a probabilidade favorece aguardar pullback até suporte antes de entrar comprado, ao invés de vender contra a tendência predominante.;2020_12_13;0
