;recomendacao;preco_entrada;alvo_lucro;stop_loss;justificativa_tecnica;data;count
0;comprar;37.80;40.00;36.20;"1) Preço voltou a trabalhar acima da média móvel de 20 períodos e próximo à banda superior de Bollinger, sugerindo retomada de momentum altista e possível expansão de volatilidade. 2) RSI cruzou a região neutra de 50 em direção a 60, indicando ganho de força compradora sem estar sobrecomprado. 3) MACD apresentou cruzamento de linha de sinal para cima, com histograma já em valores positivos — típico gatilho inicial de reversões de tendência. 4) Zona entre 35,50–36,00 serviu como suporte recente; stop-loss abaixo desse patamar preserva a validade do setup. 5) Próxima resistência visual está na região de 39,50–40,00 (topo anterior e banda superior projetada), definindo alvo com relação risco-retorno ≈1,4. Caso o ativo não rompa 37,80 com volume, preferência é aguardar nova sinalização.";2020_10_11;0
1;comprar;37.90;39.90;36.10;O ativo rompeu a resistência imediata do range lateral e fechou acima da banda superior de Bollinger após período de compressão (squeeze), indicando provável início de expansão de volatilidade na direção altista. O candle de rompimento veio acompanhado de RSI em franca ascensão, acima de 60 e ainda abaixo da zona de sobrecompra, sugerindo espaço para continuidade do movimento. O MACD apresentou cruzamento de linha de sinal para cima com histograma crescente e retorno para território positivo, reforçando o viés de compra. A média móvel de 20 períodos (linha laranja) voltou a inclinar-se para cima, atuando como suporte dinâmico. Alvo projetado na região do topo anterior (≈ R$ 40) oferece relação risco/retorno superior a 1, enquanto o stop-loss abaixo do fundo recente e da média de 20 períodos preserva capital caso o rompimento se mostre falso.;2020_10_18;0
2;comprar;37.90;39.60;36.80;O preço rompeu a faixa de consolidação recente (≈36,0–37,5) fechando acima da banda superior de Bollinger, indicando início de expansão de volatilidade em direção à tendência de alta. A média móvel de 20 períodos (linha central das bandas) virou para cima e atua como suporte dinâmico. O RSI rompeu 50 e segue em alta sem atingir sobrecompra, sugerindo força compradora saudável. O MACD cruzou para terreno positivo com histograma crescente, confirmando ganho de momentum. Entrada em 37,90 acima da máxima do candle de rompimento, stop em 36,80 abaixo do último fundo e da média/banda média, e primeiro alvo em 39,60, região de resistência anterior e projeção de 1,5× o risco.;2020_10_25;0
3;aguardar;0.00;0.00;0.00;O ativo encontra-se em consolidação, com as Bandas de Bollinger estreitando-se (sinal de contração de volatilidade) e o preço oscilando próximo à média de 20 períodos, sem rompimento claro para cima ou para baixo. O RSI recuou da região de 60 para baixo da linha de 50, indicando perda de força compradora, mas ainda sem entrar em sobrevenda. O MACD se mantém muito próximo da linha zero, com histograma praticamente neutro, sugerindo ausência de momentum dominante. Como não há configuração de rompimento, divergência evidente ou sinal de reversão com relação risco/retorno favorável, o cenário apresenta baixa previsibilidade estatística. Assim, a postura de espera é a mais prudente até que ocorra um rompimento convincente das bandas ou da média, acompanhado por confirmação do RSI (>55 ou <45) e expansão do histograma do MACD.;2020_10_4;0
4;vender;35.10;33.00;37.05;O ativo perdeu a região de suporte próxima à média móvel de 20 períodos e fechou fora da banda inferior de Bollinger, indicando aumento de volatilidade e força vendedora. A RSI rompeu a linha de 50 para baixo, sem ainda entrar em região de sobrevenda, sugerindo espaço para queda adicional. O MACD cruzou para baixo com histograma crescente em território negativo, confirmando a mudança de momentum. O conjunto desses fatores aponta maior probabilidade de continuidade do movimento de baixa, favorecendo operação na ponta vendedora com alvo no próximo suporte relevante em torno de 33,00 e stop acima da máxima da barra de rompimento (≈37,05).;2020_11_1;0
5;comprar;39.00;41.80;37.60;"O preço voltou a operar acima da média móvel de 20 períodos (linha central das Bandas de Bollinger) após um pull-back que respeitou a região dos 37,00–37,50, sinalizando retomada da força compradora. As Bandas tornaram a se abrir, indicando aumento de volatilidade a favor do movimento de alta. O MACD realizou cruzamento de linha de sinal para cima em terreno positivo, reforçando momentum ascendente. O RSI voltou a trabalhar acima de 50 sem entrar em sobrecompra, sugerindo espaço para avanço adicional. A entrada em 39,00 busca confirmar superação do topo recente intradiário; primeiro alvo em 41,80 (região do último pico e banda superior), com stop loss posicionado em 37,60, logo abaixo da média e do último fundo de correção, garantindo razão risco/retorno superior a 2:1.";2020_11_15;0
6;vender;36.50;34.80;37.80;"O ativo perdeu a média móvel de 20 períodos (centro das Bandas de Bollinger) e vem registrando topos e fundos descendentes após o candle de exaustão perto de 42,00. O MACD acionou cruzamento de baixa com histograma negativo, indicando perda de momentum comprador. O RSI recuou abaixo da linha de 50 e aponta para baixo, confirmando enfraquecimento da força relativa. A região de 36,40/36,60 funciona como suporte imediato; sua violação tende a levar o preço ao limite inferior das Bandas e ao fundo recente em 35,00-34,70. A venda na perda de 36,50, com alvo em 34,80 (suporte e banda inferior) e stop acima de 37,80 (máxima relativa e cima da média), oferece relação risco-retorno favorável e segue a direção predominante de curto prazo.";2020_11_22;0
7;aguardar;0.00;0.00;0.00;O papel segue dentro de uma congestão entre ≈ 35,50 e 38,80, com as Bandas de Bollinger estreitando-se (squeeze) e a média de 20 períodos praticamente horizontal, indicando ausência de tendência definida. • O candle mais recente até fecha levemente acima da média, mas ainda longe de romper a banda superior ou a resistência da lateralização. • RSI (14) oscila na zona neutra (≈ 50), sem divergências ou sobrecompra/sobrevenda que sustentem tomada de posição mais agressiva. • MACD segue abaixo da linha zero e, embora mostre perda de força vendedora, ainda não realizou cruzamento altista consistente. Com volatilidade comprimida e indicadores sem direcionamento claro, o cenário favorece a espera por um breakout legítimo (fechamento acima de 38,80 para compra ou abaixo de 35,50 para venda) antes de alocar capital.;2020_11_29;0
8;vender;36.20;35.00;37.25;O candle mais recente foi de baixa e fechou abaixo da média central das Bandas de Bollinger, sugerindo que a rejeição na metade superior do canal pode levar a novo teste da banda inferior (≈35,00). O RSI perdeu a zona neutra dos 50 pontos e segue declinante, indicando enfraquecimento da força compradora. O MACD continua abaixo da linha zero e da linha de sinal, com histograma negativo, corroborando o viés baixista. Em um cenário de consolidação, operar na direção da metade inferior da banda oferece melhor probabilidade-risco. O stop é posicionado logo acima da média e do topo mais recente (≈37,25), nível cuja superação invalidaria a leitura pessimista.;2020_11_8;0
9;aguardar;0.00;0.00;0.00;O preço rompeu recentemente a resistência da congestão e acelerou até a banda superior de Bollinger, afastando-se da média móvel e deixando o RSI em sobrecompra (>70). Houve um leve arrefecimento do RSI e encurtamento do histograma do MACD, indicando perda de momentum no curtíssimo prazo. A tendência primária é de alta, mas o risco de uma correção até a média (região de 38,50–39,50) é elevado, tornando a relação risco/retorno desfavorável para compras agora e precoce para vendas contra-tendência. O cenário favorece aguardar um recuo ou novo padrão de continuação antes de entrar.;2020_12_13;0
