;recomendacao;preco_entrada;alvo_lucro;stop_loss;justificativa_tecnica;data;count
0;aguardar;0.00;0.00;0.00;A estrutura de preço mostra tendência macro ainda de alta, mas a secundária encontra-se lateral entre 120-152, com a microtendência apenas levemente ascendente. O ativo está próximo da região de resistência (≈150-152) e ligeiramente acima da MMS20, que perde inclinação, sinalizando neutralidade. O MACD permanece com histograma negativo, indicando momento ainda vendedor sem cruzamento altista confirmado. O IFR oscila ao redor de 45, fora das zonas extremas, denotando falta de força compradora ou vendedora clara. As Bandas de Bollinger estão contraídas, evidenciando baixa volatilidade e possível movimento direcional futuro, mas sem gatilho no momento. A ausência de confluência forte de compra ou venda sugere que o melhor posicionamento, em termos de probabilidade e risco, é aguardar o rompimento claro da resistência (para compra) ou retorno ao suporte (para venda/compra em pullback) antes de tomar posição.;2020_10_11;0
1;comprar;158.00;170.00;146.00;O preço sustenta topos e fundos ascendentes nos prazos macro e micro e voltou a negociar acima da MMS20 inclinada para cima, indicando retomada da pressão compradora. O MACD mostra cruzamento de alta iminente com histograma ascendendo em direção ao zero, sinalizando ganho de momento. O IFR de 14 períodos se mantém em zona neutra (~55), abrindo espaço para novo impulso sem sobrecompra. As Bandas de Bollinger apresentam compressão moderada com o preço na metade superior, sugerindo possível expansão até a banda superior, situada próxima à resistência histórica em 170. A entrada é proposta no rompimento da máxima recente (158), com stop abaixo do suporte e da MMS20 (146) e alvo na região de resistência prévia (170), oferecendo relação risco/retorno favorável e alinhada à tendência predominante de alta.;2020_10_18;0
2;vender;142.00;132.00;152.00;"1) Macro ainda de alta, porém a tendência secundária virou lateral-baixista e a micro está fazendo topos e fundos descendentes. 2) O preço perdeu a MMS20 e esta começa a se inclinar para baixo, configurando fraqueza compradora. 3) MACD com linhas e histograma negativos confirma perda de momento. 4) RSI em queda, abaixo de 50 e distante de sobrevenda, mostrando espaço para mais correção. 5) Cotação opera no terço inferior das Bandas de Bollinger sem sinal de reversão; há probabilidade de testar a banda inferior/próximo suporte em 132. Confluência desses fatores favorece operação de venda com entrada no rompimento dos 142, stop técnico acima do último topo relevante (152) e alvo no suporte de 132, oferecendo relação risco/retorno ~1:1.";2020_10_25;0
3;aguardar;0.00;0.00;0.00;O ativo apresenta tendência macro ainda de alta, porém a secundária é de consolidação depois da forte correção a partir do topo em ~170. No curtíssimo prazo formou-se sequência de topos e fundos ligeiramente ascendentes, mas o preço trava na zona de resistência de 148-152, região onde já houve rejeição anterior. O candle mais recente foi de fraqueza, deixando o preço praticamente em linha com a MMS20, que está levemente lateral, sinalizando ausência de força direcional. MACD acabou de cruzar para cima da linha de sinal, porém ainda abaixo da linha zero, indicando recuperação, mas sem confirmação de momentum positivo. RSI recuou da faixa de 60 para perto de 55, fora de sobrecompra, reforçando cenário neutro. As Bandas de Bollinger estão estreitando, mostrando compressão de volatilidade e possível explosão futura, mas sem indicar direção. Sem convergência clara entre price action (resistência forte à frente) e indicadores (sinais mistos), a relação risco/retorno para compras ou vendas imediatas é desfavorável. Melhor aguardar rompimento consistente de 152 (para compra) ou perda de 136/130 (para venda) antes de tomar posição.;2020_10_4;0
4;vender;129.50;120.00;140.00;O ativo perdeu a zona de suporte de ~135, fechando abaixo da Banda de Bollinger inferior e da MMS20 (que apresenta leve inclinação descendente), configurando micro-tendência de baixa dentro de um cenário secundário neutro e rompendo o piso do range lateral dos últimos meses. O MACD mostra linhas e histograma negativos e em expansão, reforçando a aceleração baixista. O IFR 14 cedeu para próximo de 25 (sobrevendido), porém sem divergências de alta, indicando que ainda há espaço para queda até o próximo suporte em ~120. A entrada é posicionada no rompimento da mínima recente (129.50) para confirmar continuidade do movimento. O stop fica acima de 140, região onde o preço retornaria ao range e à MMS20, invalidando a tese. O alvo é o suporte seguinte em 120, oferecendo relação risco/retorno próxima de 1:1 com maior probabilidade a favor da tendência imediata de baixa.;2020_11_1;0
5;aguardar;0.00;0.00;0.00;O ativo mantém tendência macro de alta, porém a secundária (3 m) e a micro (últimas semanas) viraram para viés de baixa/ consolidação, formando topos descendentes e operando agora abaixo da MMS20, que se encontra com leve inclinação negativa. O preço está na metade inferior das Bandas de Bollinger, mas sem tocar a banda inferior, indicando falta de ponto extremo de compra. O IFR(14) está neutro, em torno de 45, sem sinal de sobrevenda ou sobrecompra. O MACD segue negativo (ambas as linhas abaixo de zero), embora o histograma mostre perda de força vendedora, o que reforça cenário de lateralização. Não há confluência clara de sinais de compra nem de venda: momentum fraco, volatilidade contraída e ausência de rompimento de suportes (≈ 128–132) ou resistências (≈ 152–155). Assim, o cenário favorece ficar de fora aguardando rompimento ou sinal mais contundente antes de assumir posição.;2020_11_15;0
6;aguardar;0.00;0.00;0.00;"Tendência macro e secundária de alta, com rompimento recente da congestão; preço opera bem acima da MMS20 ascendente e próximo da banda superior de Bollinger, indicando ativo esticado. IFR ~70 em sobrecompra e começando a recuar, sugerindo possível correção de curto prazo. MACD está positivo e acelerando, confirmando força compradora, mas o preço aproxima-se da resistência histórica em 176, tornando a relação risco/retorno desfavorável para compras imediatas e sem sinal de venda contundente. Melhor esperar pullback à zona de suporte (155-160) ou rompimento consistente acima de 176 para nova avaliação.";2020_11_22;0
7;aguardar;0.00;0.00;0.00;O ativo vive forte tendência de alta em todos os prazos, com topos e fundos ascendentes e preço muito acima da MMS20, que se inclina positivamente. O MACD está acima de zero e acelerando, confirmando momentum comprador. Entretanto, o preço trabalha colado/fora da Banda de Bollinger superior, sinalizando extensão do movimento, enquanto o IFR(14) se encontra em zona de sobrecompra (>70). Essa combinação indica probabilidade elevada de correção ou lateralização de curto prazo, tornando a relação risco/retorno desfavorável para novas compras e igualmente arriscada para vendas contra-tendência. Assim, a postura mais prudente é aguardar um pullback até região de suporte (ex-resistência próxima a 160–170 ou a própria MMS20) antes de planejar uma entrada com melhor assimetria.;2020_11_29;0
8;aguardar;0.00;0.00;0.00;"Preço consolidado há cerca de três meses entre 128–152, sem romper extremos; tendência macro ainda de alta, mas secundária e micro lateral. Cotação encontra-se próxima ao centro-superior do range, levemente acima da MMS20, que está praticamente plana, indicando ausência de momentum direcional. RSI perto de 50 (zona neutra), sem sinal de sobrecompra/sobrevenda. MACD segue abaixo da linha zero, porém com histograma reduzindo a negatividade, sinal de perda de força vendedora, mas ainda sem gatilho comprador claro. Bandas de Bollinger estreitas sugerem compressão/iminência de rompimento, porém o preço não testa nem a banda inferior (compra) nem a superior (venda). Como não há confluência suficiente para entrada com relação risco/retorno favorável — compra ideal seria junto ao suporte de 128–130 ou compra somente após rompimento forte de 152–155 com aumento de volume — a postura mais prudente é aguardar um sinal mais claro (pullback ao suporte ou breakout da resistência) antes de alocar capital.";2020_11_8;0
9;comprar;205.00;225.00;189.00;"Tendência macro e secundária de alta, com topos e fundos ascendentes; microtendência em correção dentro do mesmo canal. Preço segue acima da MMS20, que mantém inclinação positiva, reforçando força compradora estrutural. Após tocar a banda superior de Bollinger, o ativo realizou pullback até a região média das bandas, reduzindo a condição de sobrecompra e oferecendo melhor relação risco/retorno para entrada. RSI recuou da região >70 para cerca de 60, liberando espaço para novo impulso de alta. MACD permanece positivo, embora em fase de convergência, indicando perda de fôlego mas ainda dentro de território altista. Entrada acima da máxima recente (≈205) busca continuidade da tendência rumo à resistência em 225, com stop abaixo do último fundo significativo (≈189) para preservar capital, resultando em relação risco/retorno próxima de 1,3:1.";2020_12_13;0
