;recomendacao;preco_entrada;alvo_lucro;stop_loss;justificativa_tecnica;data;count
0;aguardar;0.00;0.00;0.00;"O ativo mantém tendência primária de alta, porém encontra-se em consolidação lateral desde o topo em ~170. O preço está ligeiramente acima da média móvel de 20 períodos e no centro das Bandas de Bollinger, que se estreitam indicando ‘squeeze’ e baixa volatilidade – típico ponto de indefinição que antecede movimentos mais fortes.  
• RSI em torno da zona neutra (40-50), sem sobrecompra ou sobrevenda e sem divergências relevantes.  
• MACD segue abaixo da linha de sinal e do eixo zero; apesar da perda de força vendedora (histograma menos negativo), ainda não houve cruzamento positivo.  
• Ausência de padrão de reversão/continuação validado (breakout acima de 150-155 ou perda de 135-132 seriam os gatilhos mais claros).  
Diante da falta de convergência de sinais e do risco de falso rompimento num ambiente de baixa volatilidade, a melhor postura é aguardar confirmação (fechamento acima de 155 com volume para compra; ou abaixo de 132 para venda) antes de posicionar-se.";2020_10_11;0
1;aguardar;0.00;0.00;0.00;"O ativo segue em consolidação lateral entre ~135 e ~155 após forte tendência de alta. Os preços estão levemente acima da média móvel de 20 períodos, mas ainda contidos pela banda superior de Bollinger, que se estreita — sinal de redução de volatilidade e ausência de definição direcional. 

RSI oscila em torno de 50-60, sem divergências claras nem sobrecompra/sobrevenda, reforçando cenário neutro. Já o MACD mostra convergência de linhas, mas o cruzamento de alta ainda não se confirmou e o histograma continua próximo de zero, indicando momentum fraco. 

Em síntese, não há sinal concreto de rompimento (compra) nem de reversão (venda). O posicionamento mais prudente é aguardar: 
• Compra só em fechamento acima de ~155/160 com volume, buscando o topo anterior (~175) e stop abaixo de ~145. 
• Venda apenas se perder ~135, configurando reversão baixista. 

Enquanto nenhum desses gatilhos ocorre, a relação risco/retorno é desfavorável para iniciar posição.";2020_10_18;0
2;aguardar;0.00;0.00;0.00;"O ativo encontra-se em consolidação desde o topo em ~176, formando topos descendentes em ~158/152 e fundos ascendentes em ~120/132, o que caracteriza um triângulo de indecisão. O preço está exatamente sobre a média móvel de 20 períodos (linha laranja) e dentro das Bandas de Bollinger que vêm se estreitando – típico de compressão de volatilidade antes de um rompimento.  
•  Momentum: MACD negativo e abaixo da linha zero, mas com histograma perdendo força vendedora; não há cruzamento claro que valide compra ou venda.  
•  Força relativa: RSI abaixo de 50 e apontando para baixo, porém longe da região de sobrevenda (<30), indicando fraqueza de compra, mas sem excesso vendedor.  
•  Suporte/Resistência: suporte imediato em ~136/132 (banda inferior e fundo recente) e resistência em ~152 (topo mais recente).  
Diante da convergência de sinais neutros (falta de tendência definida, volatilidade comprimida e indicadores sem gatilhos claros), o melhor posicionamento, em termos de probabilidade/risco-retorno, é aguardar o rompimento:  
•  Acima de 152 para avaliar compra (confirmação de retomada de tendência alta).  
•  Abaixo de 136 para avaliar venda/short (quebra de suporte e renovação de topos/​fundos descendentes).  
Enquanto não ocorrer um desses gatilhos, operar implica risco assimétrico sem vantagem estatística, portanto a recomendação é permanecer fora (aguardar).";2020_10_25;0
3;aguardar;0.00;0.00;0.00;O preço segue congestionado dentro de um retângulo entre ~120 e ~152, sem confirmação de rompimento. A última vela é de reversão (corpo preto) próximo à média móvel curta e abaixo da resistência superior das Bandas de Bollinger, indicando rejeição de preços mais altos. O RSI recuou da zona de 60 para a região neutra, sugerindo perda de força compradora. O MACD permanece abaixo da linha zero, com linha rápida ainda abaixo da lenta, mostrando viés baixista moderado. Enquanto o ativo não romper 152 com volume para cima (sinal de compra) ou perder 120 (com venda), a probabilidade de movimentos consolidados permanece elevada, favorecendo a postura de espera.;2020_10_4;0
4;vender;136.00;118.00;148.50;O ativo perdeu a média curta e saiu pela banda inferior de Bollinger com candle de corpo amplo, sinalizando aumento de volatilidade e força vendedora. O MACD está abaixo da linha zero com abertura de divergência negativa e histograma voltando a crescer, indicando aceleração do movimento de baixa. O RSI quebrou a região de 40 e entrou em sobre‐vendido sem sinal de divergência de alta, reforçando a probabilidade de continuidade do recuo. A perda do suporte imediato em torno de 134 favorece operação short, buscando o próximo suporte visível na região de 118. O stop é posicionado acima da antiga região de consolidação e da média, em 148,50, onde o cenário de baixa seria invalidado. Relação risco/retorno ≈ 1,4:1.;2020_11_1;0
5;aguardar;0.00;0.00;0.00;O ativo encontra-se em consolidação, negociando abaixo da média móvel central das Bandas de Bollinger e mais próximo da banda inferior, sem sinal claro de reversão. O RSI está em torno da linha de 50, indicando ausência de força compradora ou vendedora dominante, enquanto o MACD permanece abaixo da linha zero e com a linha rápida sob a linha de sinal, apontando viés de enfraquecimento de momentum. Esses elementos, combinados, sugerem probabilidade moderada de continuidade lateral ou leve correção. Como não há configuração de alta probabilidade (breakout confirmado ou sinal de exaustão de venda), o cenário técnico favorece ficar de fora até que surja: (i) rompimento consistente da faixa superior (~152) com aumento de volume para compra, ou (ii) perda clara do suporte de ~128 para venda. Até lá, a relação risco-retorno é pouco atrativa.;2020_11_15;0
6;aguardar;0.00;0.00;0.00;O ativo rompeu recentemente a resistência em torno de 152–155, acelerando até a região de 168–170 com expansão das Bandas de Bollinger. O candle atual mostra exaustão (pequena sombra superior) e o preço segue bastante afastado da média móvel, sugerindo esticamento. O RSI está acima de 70 (sobrecompra), indicando probabilidade elevada de correção ou consolidação de curto prazo. Apesar do MACD apontar força compradora (histograma crescente e linhas em cruzamento positivo), o risco-retorno para entradas imediatas é desfavorável: stop técnico ficaria abaixo dos 155, implicando perda potencial de ~8-9%, enquanto o alvo mais próximo (topo psicológico em 176) entregaria ganho de ~4-5%. Diante do desbalanceamento entre risco e recompensa e sinais de sobrecompra, a estratégia mais prudente é aguardar um pullback até a faixa de 158–162 (antigo rompimento/média) ou novo padrão de continuidade antes de considerar compras.;2020_11_22;0
7;aguardar;0.00;0.00;0.00;O preço disparou recentemente, rompendo o topo anterior e fechando várias barras seguidas fora da banda superior de Bollinger, sinal típico de euforia/over-extension. O RSI está acima de 75, em zona de sobrecompra, e o MACD mostra forte divergência positiva porém em estágio avançado, indicando aceleração, mas também aumento de risco de exaustão. Entrar agora ofereceria relação risco/retorno desfavorável: o primeiro suporte relevante (média de 20 períodos e banda média) está ~15-20% abaixo do preço atual, exigindo stop longo ou risco elevado de whipsaw. A melhor probabilidade virá após um recuo ou congestão que traga RSI para perto de 50-60 e o preço para a média móvel/banda média, onde haveria novo ponto de entrada com melhor assimetria.;2020_11_29;0
8;aguardar;0.00;0.00;0.00;"O ativo está congestionado há cerca de quatro meses dentro de um retângulo entre ≈128 (suporte) e ≈156 (resistência). Apesar de o preço ter voltado a trabalhar acima da média móvel de 20 períodos e de o RSI ter saído da região de sobrevenda, ainda: (1) não ocorreu rompimento consistente da resistência, (2) o MACD segue abaixo da linha zero, sem cruzamento altista confirmado, e (3) as Bandas de Bollinger encontram-se estreitas, indicando falta de direcionalidade e risco elevado de falso rompimento. Nesse cenário, o balanço de probabilidades não favorece entrada imediata; o trade de maior convicção seria somente após a superação de 156 com volume – ou, alternativamente, no teste bem-sucedido do suporte. Portanto, a recomendação é aguardar sinal técnico mais claro para alinhar melhor relação risco/retorno.";2020_11_8;0
9;aguardar;0.00;0.00;0.00;"Preço segue em tendência primária de alta, porém apresenta sinais de exaustão de curto prazo: (1) candles recentes fizeram topo próximo à banda superior de Bollinger e corrigiram até perto da média de 20 períodos; (2) RSI recuou do território de sobrecompra (>70) para níveis em torno de 60, indicando perda de força compradora; (3) MACD permanece positivo, mas o histograma mostra declínio e as linhas encontram-se prestes a cruzar para baixo, sugerindo desaceleração do momentum. O risco de nova correção até a região de suporte imediata (≈190) é elevado, enquanto o potencial de alta até o topo anterior (≈230) oferece relação risco/retorno desfavorável. Assim, o cenário é de indefinição: ainda não há sinal claro para venda (tendência maior segue de alta) nem ponto atrativo de compra. Recomenda-se aguardar por: a) recuo mais profundo e sinal de reversão próximo ao suporte de 190–195, ou b) rompimento convincente do topo em 225–230 com volume antes de entrar comprado.";2020_12_13;0
10;aguardar;0.00;0.00;0.00;O ativo permanece em tendência primária de alta (máximas e mínimas ascendentes e preço acima da média móvel de 20 períodos), porém os osciladores sinalizam perda de força do movimento. O RSI recuou do patamar de sobre-compra, formou topo descendente enquanto o preço fez topo ascendente, caracterizando divergência de baixa. O MACD segue positivo, mas o histograma diminui e as linhas convergem, sugerindo possível cruzamento de baixa nas próximas barras. As bandas de Bollinger estão abertas, mas o preço deixou de tocar a banda superior e começa a se aproximar da média central, indicando provável fase de consolidação ou correção. Diante do enfraquecimento de momentum e da relação risco/retorno desfavorável neste ponto do ciclo, a probabilidade de pullback supera a de continuação imediata da alta. Recomenda-se aguardar novo sinal de força compradora (ex.: rompimento claro do topo recente com retomada de expansão de volume/momentum) ou correção até suporte relevante (média de 20 períodos ou banda inferior) antes de considerar entrada.;2020_12_20;0
11;aguardar;0.00;0.00;0.00;"O ativo mantém tendência principal de alta, negociando acima da média curta e da banda média de Bollinger, mas os sinais de momentum perderam força: 1) MACD ainda positivo porém com histograma decrescente e linhas prestes a cruzar para venda, indicando enfraquecimento da pressão compradora; 2) RSI formou topo acima de 70 e agora faz topos descendentes perto de 60, configurando divergência de baixa em relação aos topos ascendentes no preço; 3) As últimas velas mostram consolidação e perda de amplitude perto da banda superior, sugerindo possível correção até a média móvel ou banda inferior. Diante de um risco-retorno menos favorável e sinais de divergência, a probabilidade de pullback supera a de nova perna de alta imediata. Melhor aguardar novo gatilho claro: rompimento dos 235 – 240 (comvolume) para compra, ou retorno aos 200 – 205 com reação compradora para entrada mais defensiva. Enquanto isso, a postura neutra preserva capital.";2020_12_27;0
12;aguardar;0.00;0.00;0.00;"O ativo vem em tendência de alta sólida, negociando no topo do canal e acima da média móvel curta, porém: (1) o preço está colado à banda superior de Bollinger, indicando alongamento; (2) o RSI permanece em zona de sobrecompra (≃75) sem sinais claros de novo impulso – favorece exaustão; (3) o MACD segue positivo, mas o histograma perdeu força nas últimas barras, sugerindo perda de momentum e risco de correção; (4) não há padrão de reversão confirmado para venda, mas o risco/retorno para novas compras é desfavorável neste momento. Assim, a conduta com maior expectativa‐risco ajustada é aguardar um pullback até a média/banda média ou um novo pivô de alta antes de pensar em compra, ou aguardar sinal claro de reversão para venda.";2020_12_6;0
13;aguardar;0.00;0.00;0.00;O preço encontra-se esticado, operando fora da banda superior de Bollinger após forte rali. As últimas velas mostram corpos menores, indicando perda de ímpeto. O RSI já ultrapassou a região de sobrecompra (>70) e começou a recuar, sugerindo possível correção ou consolidação. Embora o MACD permaneça positivo, o histograma perdeu aceleração, apontando enfraquecimento do momentum comprador. O risco-retorno para novas compras é desfavorável e ainda não há sinal técnico claro de reversão que justifique venda descoberta. Dessa forma, a postura mais prudente no momento é aguardar por um recuo até a média da banda (aprox. 20 períodos) ou novo sinal de força antes de entrar na operação.;2020_1_12;0
14;vender;34.50;30.00;36.90;"1) Exaustão de movimento: o preço tocou e ultrapassou a banda superior de Bollinger, retornando para dentro das bandas – típico sinal de reversão/realização de lucros.
2) Divergência baixista: enquanto o preço fez novo topo, o RSI formou topo mais baixo e já saiu da zona de sobrecompra (>70), corroborando perda de força compradora.
3) MACD: histograma diminui há vários pregões e a linha MACD começa a curvar-se para baixo, próximo de cruzar a linha de sinal – evidenciando desaceleração do momentum.
4) Alvo de lucro: região da média móvel de 20 períodos (≈30,00), que coincide com a banda média de Bollinger e antiga resistência rompida, oferecendo suporte provável e relação risco/retorno ~2:1.
5) Stop loss: acima do topo recente (≈36,50) acrescido de margem técnica até 36,90, invalidando o setup caso o ativo volte a fazer máxima histórica.
Diante dos sinais de enfraquecimento após forte rali, a probabilidade favorece correção de curto prazo; portanto, a estratégia indicada é de venda/short visando pullback até a média de 20 períodos.";2020_1_19;0
