;recomendacao;preco_entrada;alvo_lucro;stop_loss;justificativa_tecnica;data;count
0;aguardar;147.50;160.00;140.00;O preço está em fase de consolidação junto ao middle band das Bollinger Bands, com volatilidade reduzida e bandas se estreitando. O RSI encontra-se neutro (próximo a 50) e o MACD mostra histograma achatado próximo da linha zero, sem viés definido. Recomenda-se aguardar a confirmação de rompimento acima da resistência em 147.50 para entrada, visando alvo em 160.00 e stop em 140.00.;2020_10_11;0
1;aguardar;152.00;162.00;147.00;O preço está em fase de consolidação lateralizada perto da resistência em R$152,00, com o RSI recuando de níveis de sobrecompra e o MACD ainda sem cruzamento de alta definido abaixo da linha zero. A Bollinger Band também se estreitou, indicando baixa volatilidade e falta de momentum claro. Recomenda-se aguardar um rompimento claro acima de R$152,00 com aumento de volume e confirmação de MACD positivo para então estabelecer entrada, visando o topo anterior próximo a R$162,00 e protegendo o trade com stop loss abaixo do suporte imediato em R$147,00.;2020_10_18;0
2;aguardar;150.00;165.00;140.00;O papel está em fase de consolidação lateral após grande alta, com as Bandas de Bollinger se contraindo e o preço circulando próximo à média móvel de 20 períodos. O RSI encontra-se neutro (entre 45 e 55), sem sobrecompra ou sobrevenda, e o MACD opera levemente negativo, sugerindo falta de pressão direcional. Recomenda-se aguardar um rompimento consistente acima de R$150,00 com volume, confirmando retomada da tendência de alta. Caso isso ocorra, o alvo de R$165,00 projeta a zona de resistência anterior, mantendo o stop em R$140,00 (próximo ao suporte estático), para gestão de risco.;2020_10_25;0
3;aguardar;152.00;160.00;139.00;O preço opera próximo à média móvel de 20 períodos dentro das bandas de Bollinger, com volatilidade reduzida (squeeze). O RSI está em região neutra (~45) e o MACD mostra a linha de sinal em viés levemente baixista. Não há sinal claro de reversão ou continuação de alta, portanto o melhor cenário técnico é aguardar confirmação de rompimento acima de 152,00 para entrada. O stop loss é posicionado abaixo da banda inferior (~139,00) e o alvo de lucro próximo à resistência estática e topo da banda superior (~160,00).;2020_10_4;0
4;aguardar;138.00;150.00;130.00;O preço registrou uma forte queda e acabou rompendo a banda inferior de Bollinger, com RSI já em sobrevenda (<30) e MACD ainda abaixo da linha de sinal. Apesar do momento de sobrevenda indicar possibilidade de reação, a falta de um candle de reversão e a continuidade da pressão vendedora no MACD aconselham aguardar uma confirmação de mudança de viés. Projeta-se um ponto de entrada ao retestar a média móvel de 20 períodos (≈138), stop loss abaixo da mínima recente (≈130) e alvo próximo à resistência formada pela banda superior de Bollinger (≈150).;2020_11_1;0
5;aguardar;146.00;160.00;138.00;O ativo está em zona de consolidação próxima à média móvel e ao meio das Bandas de Bollinger, com RSI em torno de 50 (neutro) e MACD ainda abaixo da linha de zero, sem viés definitivo de alta ou baixa. As Bandas de Bollinger estão se estreitando, sinalizando compressão de volatilidade. Recomenda-se aguardar confirmação de rompimento acima de R$ 145,00 para entrada em compra, visando projeção até o topo anterior em R$ 160,00 e com stop loss abaixo do suporte imediato em R$ 138,00.;2020_11_15;0
6;aguardar;162.00;180.00;155.00;O preço acabou de romper forte topo de consolidação, com expansão das Bandas de Bollinger e cruzamento de alta no MACD, mas o RSI está em zona de sobrecompra (>70), indicando risco de retração de curto prazo. Recomenda-se aguardar pullback até a antiga zona de resistência (agora suporte) em ~162 para otimizar o ponto de entrada, colocar stop logo abaixo do próximo suporte em ~155 e mirar o alvo no próximo nível de resistência em ~180, preservando bom risco-retorno.;2020_11_22;0
7;vender;200.00;160.00;205.00;O preço encontra-se esticado acima da banda superior de Bollinger, sinalizando sobrecompra extrema. O RSI está em torno de 78, acima de 70, confirmando condição de sobrecompra. Embora o MACD ainda apresente histograma positivo, observa-se que o ritmo de expansão pode estar se exaurindo em zona elevada, aumentando a probabilidade de correção em direção à média móvel central (BB) próxima de 160. A relação risco-retorno favorece um trade de venda com stop levemente acima da máxima recente em 205 e alvo próximo ao meio das bandas em 160.;2020_11_29;0
8;comprar;145.00;155.00;136.00;O preço acaba de reverter desde a banda inferior de Bollinger e rompeu o EMA20, mostrando força relativa. O RSI saiu de região neutra/baixa e está em subida, e o MACD apresenta histograma positivo e linha MACD cruzando acima da sinal, indicando ganho de momentum. A estrutura gráfica sugere retomada de viés de alta no curto prazo, com bom potencial de retorno em relação ao risco definido pelo suporte em 136.;2020_11_8;0
9;aguardar;195.00;230.00;185.00;O preço recuou fortemente desde o topo em ~230 e testou a média móvel de 20 períodos (Bollinger Middle Band) perto de 185-190. O RSI desacelerou após condição de sobrecompra e ainda não formou fundo ascendente claro. O MACD segue acima de zero, mas o histograma está diminuindo, indicando perda de momentum. Recomenda-se aguardar um sinal de retomada (fechamento acima de 195 com volume) antes de entrar em posição, fixando stop abaixo do suporte em 185 e alvo próximo à resistência em 230.;2020_12_13;0
